;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;;Pulp;254 MT;2 713 USD/MT
;;;Halves;27 MT;2 917 USD/MT
;;;Unknown;2 MT;3 150 USD/MT
;;;;;
;;EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;
;;;Pulp;249 MT;3 298 USD/MT
;;;Cubes;0 MT; 250 USD/MT
;;;;;
;;ELITE FOOD PERU S.A.C.;;;
;;;Pulp;205 MT;3 122 USD/MT
;;;Unknown;10 MT;1 990 USD/MT
;;;;;
;;AMARA FOODS S.A.C.;;;
;;;Pulp;152 MT;2 502 USD/MT
;;;Cubes;4 MT;3 500 USD/MT
;;;;;
;;IMPORTADORA Y EXPORTADORA DOÑA ISABEL E.;;;
;;;Pulp;144 MT;3 850 USD/MT
;;;;;
;;NORPERU COMPANY CV E.I.R.L.;;;
;;;Pulp;130 MT;2 781 USD/MT
;;;;;
Passion Fruit;;FUSION FOODS S.A.C.;;;
;;;Pulp;123 MT;3 995 USD/MT
;;;;;
;;AGRICOLA LOS MEDANOS S.A.;;;
;;;Pulp;54 MT;2 975 USD/MT
;;;Cubes;35 MT;2 960 USD/MT
;;;;;
;;MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C;;;
;;;Pulp;77 MT;3 381 USD/MT
;;;;;
;;BELMONT FOODS PERU S.A.C.;;;
;;;Pulp;69 MT;2 731 USD/MT
;;;;;
;;AGRO FROST S.A.C.;;;
;;;Pulp;41 MT;2 613 USD/MT
;;;Unknown;24 MT;3 345 USD/MT
;;;;;
;;P & M FRUITS S.A.C.;;;
;;;Pulp;64 MT;2 852 USD/MT
;;;;;
;;MEBOL GF S.A.C.;;;
;;;Unknown;35 MT;2 060 USD/MT
;;;Chunks;18 MT;3 070 USD/MT
;;;Pulp;11 MT;3 355 USD/MT
;;;;;
;;DARO Y ANSER S.A.C.;;;
;;;Pulp;56 MT;2 395 USD/MT
;;;;;
Passion Fruit;;AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA;;;
;;;Unknown;30 MT;3 273 USD/MT
;;;Cubes;25 MT;3 554 USD/MT
;;;;;
;;PERU INDUSTRY G.N S.A.C.;;;
;;;Pulp;54 MT;2 942 USD/MT
;;;;;
;;LATAM TRADE S.A.C.;;;
;;;Pulp;48 MT;3 155 USD/MT
;;;;;
;;COTRINA EXPORTS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - COTRINA EXPORTS E.I.R.L.;;;
;;;Pulp;47 MT;3 647 USD/MT
;;;;;
;;FLYMEXPORT PERU E.I.R.L.;;;
;;;Pulp;39 MT;3 528 USD/MT
;;;;;
;;IMPORTACIONES BLAWS E.I.R.L.;;;
;;;Pulp;32 MT;3 023 USD/MT
;;;;;
;;EXPORT Y IMPORT E INVERSIONES WILLAM ESAG EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;;;
;;;Pulp;29 MT;2 031 USD/MT
;;;;;
;;KARLINI INTERNATIONAL FOODS S.A.C.;;;
;;;Pulp;25 MT;3 364 USD/MT
;;;;;
;;LAMAS IMPORT EXPORT S.A.C.;;;
;;;Unknown;21 MT;1 899 USD/MT
;;;Pulp;2 MT;1 657 USD/MT
;;;Whole;1 MT;1 313 USD/MT
;;;;;
;;QUICORNAC S.A.C.;;;
;;;Pulp;24 MT;2 875 USD/MT
;;;;;
;;;;;
;grape;;;;
Grapes;;DOMINUS S.A.C;;;
;;;Unknown;1 228 MT;1 516 USD/MT
;;;;;
;;VIRU S.A.;;;
;;;Unknown;359 MT;1 536 USD/MT
;;;Whole;144 MT;2 153 USD/MT
;;;;;
;;VIRÚ GROUP PERÚ S.A.;;;
;;;Unknown;355 MT;1 190 USD/MT
;;;Whole;48 MT; 900 USD/MT
;;;;;
;;MEBOL GF S.A.C.;;;
;;;Chunks;192 MT;1 479 USD/MT
;;;Unknown;24 MT; 749 USD/MT
;;;Whole;0 MT; 373 USD/MT
;;;;;
;;MEBOL SAC;;;
;;;Unknown;32 MT;1 016 USD/MT
;;;;;
;;;;;
;pineapple;;;;
Pineappes;;AGRICOLA LOS MEDANOS S.A.;;;
;;;Unknown;429 MT;2 900 USD/MT
;;;Chunks;106 MT;2 608 USD/MT
;;;Cubes;0 MT; 350 USD/MT
;;;(blank);0 MT;2 000 USD/MT
;;;Pulp;0 MT;2 000 USD/MT
;;;;;
;;PROCESADORA PERU SOCIEDAD ANONIMA CERRADA;;;
;;;Unknown;297 MT;2 878 USD/MT
;;;(blank);120 MT;3 168 USD/MT
;;;Chunks;49 MT;3 316 USD/MT
;;;;;
;;AGRO FROST S.A.C.;;;
;;;Chunks;248 MT;2 877 USD/MT
;;;Unknown;18 MT;1 640 USD/MT
;;;;;
;;VIRÚ GROUP PERÚ S.A.;;;
;;;Unknown;186 MT;1 749 USD/MT
;;;Chunks;46 MT;2 258 USD/MT
;;;Pulp;3 MT; 779 USD/MT
